Id1,Nome da imagem,Experimento,Skipped,MstoCreate,MstoLabel,Curto,LeftPoca,WidthPoca,TopPoca,HeightPoca,LeftArame,WidthArame,TopArame,HeightArame
cl4rpw4g21ddz076c7rcv5gq3,Img11.bmp,Experimento1,FALSE,15025,24,0,37,117,91,7,92,23,91,31
cl4rpwkou1dv707a86ov45gtd,Img12.bmp,Experimento1,FALSE,49778,147,0,39,116,86,7,92,23,86,39
cl4rpx0hd1c72078w024n899w,Img13.bmp,Experimento1,FALSE,25761,76,0,41,114,81,4,92,23,81,45
cl4rq112i1fj8078abkolbyph,Img14.bmp,Experimento1,FALSE,28581,358,1,39,116,111,10,92,23,111,19
cl4rq1l411es0077tgkvy3swi,Img15.bmp,Experimento1,FALSE,16025,1023,0,36,125,86,12,92,23,86,42
cl4rq25qr1dmt07736e6h97c2,Img16.bmp,Experimento1,FALSE,33265,3263,0,37,132,103,14,92,23,103,21
cl4rq2leu1emw076cg03k7xyk,Img17.bmp,Experimento1,FALSE,17374,2373,0,37,128,90,6,92,23,90,37
cl4rq3eel1dfr078w2v5bdjkp,Img18.bmp,Experimento1,FALSE,17519,2518,0,39,123,93,10,92,23,93,32
cl4rq3sxf1f7o07a80dzt2m5g,Img19.bmp,Experimento1,FALSE,1807,3068,0,39,121,68,7,92,24,68,54
cl4rq482k1dbp077odl0q9iu0,Img20.bmp,Experimento1,FALSE,17091,209,0,40,118,73,7,92,23,73,45
cl4rq4nh81gft079i0mywhu0p,Img21.bmp,Experimento1,FALSE,19857,4856,0,37,124,75,10,92,23,75,37
cl4rq528y1ffu07a88yc2gu7a,Img22.bmp,Experimento1,FALSE,1062,618,0,38,120,72,6,92,24,72,40
cl4rq5g561duv078wdqwa8pag,Img23.bmp,Experimento1,FALSE,21104,1104,0,39,119,80,5,92,23,80,31
cl4rq5ukm1dx2078wam2z8f41,Img24.bmp,Experimento1,FALSE,26223,1222,0,39,117,92,5,92,24,92,26
cl4rq6e6f1di307awbafa1w3o,Img25.bmp,Experimento1,FALSE,21404,1403,0,41,116,97,6,92,23,97,25
cl4rq6yxw1dmm07awc26ma0vp,Img26.bmp,Experimento1,FALSE,17819,2817,0,41,116,102,8,92,23,102,21
cl4rq7i1s1fv0077t4ic9aibu,Img27.bmp,Experimento1,FALSE,18264,3264,1,40,117,95,5,92,25,95,27
cl4rq7voo1gzn079i61c76n7s,Img28.bmp,Experimento1,FALSE,198,4799,1,43,111,96,5,93,23,96,28
cl4rq8a761e3r077o4g5950up,Img29.bmp,Experimento1,FALSE,14505,4504,0,36,121,76,5,92,24,76,42
cl4rq8qrz1g3a077t49jy0zr7,Img30.bmp,Experimento1,FALSE,17688,2687,0,37,118,76,7,92,25,76,43
cl4rq94gx1g8k07a8aink5lrk,Img31.bmp,Experimento1,FALSE,15651,65,0,30,128,85,4,92,24,85,35
cl4rq9k8g1ece077o6syf2mex,Img32.bmp,Experimento1,FALSE,17712,2711,0,29,131,91,3,92,24,91,31
cl4rq9ynd1fng07706q6kdmyh,Img33.bmp,Experimento1,FALSE,17362,2362,0,26,134,77,4,92,23,77,44
cl4rqacuf1f6807733ff18q3f,Img34.bmp,Experimento1,FALSE,18637,3635,0,29,130,82,6,92,24,82,40
cl4rqarcr1ghm077tgjh3he05,Img35.bmp,Experimento1,FALSE,11157,1156,0,34,126,86,4,92,23,86,35
cl4rqb5p11enj077oa5twbwcf,Img36.bmp,Experimento1,FALSE,15002,5001,0,36,124,81,5,92,23,81,43
cl4rqbhdj1gba076cbqhs8ukv,Img37.bmp,Experimento1,FALSE,49957,3399,0,36,123,84,4,92,23,84,41
cl4rqbunx1gsu07a87png3o8w,Img38.bmp,Experimento1,FALSE,15062,61,0,36,123,98,4,92,23,98,27
cl4rqkbun1gbr077o6hvb9345,Img39.bmp,Experimento1,FALSE,16928,1927,0,38,119,86,6,92,24,86,38
cl4rqkqpb1ge1077o44hofc0r,Img40.bmp,Experimento1,FALSE,15755,753,0,38,119,88,3,92,24,88,33
cl4rql2zf1hxu076cc0sxh1gg,Img41.bmp,Experimento1,FALSE,1894,3939,0,35,121,98,1,92,23,98,21
cl4rqlgly1ilx07a81hft4aj6,Img42.bmp,Experimento1,FALSE,10512,511,0,36,120,93,3,92,24,93,26
cl4rqltcz1jl1079ibgdmbehd,Img43.bmp,Experimento1,FALSE,20013,5012,0,37,117,95,4,92,23,95,25
cl4rqm4pl1i4s076c9cogejm2,Img45.bmp,Experimento1,FALSE,10404,403,0,35,122,94,6,91,24,94,27
cl4rqmha21jq0079icma2c9vh,Img46.bmp,Experimento1,FALSE,17831,2829,0,35,123,93,4,91,24,93,29
cl4rqmtgn1gjb07aw7341bga8,Img47.bmp,Experimento1,FALSE,34447,4445,1,40,113,96,6,92,23,96,28
cl4rqn6081hg30773c5s9794o,Img44.bmp,Experimento1,FALSE,10018,16,0,39,119,91,4,92,23,91,28
cl4rqnxpe1jxv079ia5bbatsj,Img48.bmp,Experimento1,FALSE,47961,2075,1,42,115,100,5,91,24,100,24
cl4rqob7u1hja078wdtmh9u0r,Img51.bmp,Experimento1,FALSE,1013,129,0,36,125,89,3,92,23,89,25
cl4rqphqj1j85077t0qaxfai0,Img52.bmp,Experimento1,FALSE,17886,2885,0,34,123,86,4,91,24,86,35
cl4rqq8151jcg077temtc1pxh,Img49.bmp,Experimento1,FALSE,15001,15001,1,41,112,98,6,91,24,98,27
cl4rqqke31hym078w2ubn2pjc,Img50.bmp,Experimento1,FALSE,18508,3506,0,40,125,89,8,92,23,89,29
cl4rqqyu71iyg076c2gco6y2k,Img53.bmp,Experimento1,FALSE,19814,4813,0,30,131,93,8,92,23,93,31
"cl4rupc3o0s8h08by1dhdahg4,Img56.bmp,Experimento1,FALSE,48391,""2,478E+16"",0,32,127,94,6,92,23,94,30"
cl4rupcsb0sua075o1voo43ff,Img57.bmp,Experimento1,FALSE,27077,2076,0,33,125,99,5,91,24,99,38
cl4rv4vth0uex077uaxrqhz9o,Img54.bmp,Experimento1,FALSE,18175,3173,0,27,135,76,5,92,23,76,42
cl4rv5ce40tkt08ce5xas1x5s,Img55.bmp,Experimento1,FALSE,17403,2251,0,30,134,85,6,92,23,85,26
cl4rv6fak0vsg078z42i0bdgy,Img58.bmp,Experimento1,FALSE,2269,2689,0,32,133,69,7,92,23,69,53
cl4rv6u1s0vw5078zeq6916wx,Img59.bmp,Experimento1,FALSE,15002,15002,0,35,129,81,8,92,24,81,38
cl4rv7do80v0w077u6xqu147q,Img60.bmp,Experimento1,FALSE,22151,715,0,32,131,83,6,92,23,83,39
cl4rv7svg0w54078zbje396vm,Img61.bmp,Experimento1,FALSE,18272,3271,0,34,122,64,8,92,24,64,60
cl4rv88h60xyo079qfxww8aui,Img62.bmp,Experimento1,FALSE,20001,20001,0,37,118,66,6,92,23,66,59
cl4rv8pfs0y3v079q3xen5rp7,Img63.bmp,Experimento1,FALSE,20469,1031,0,36,120,89,4,92,23,89,38
cl4rv9jjj0uks08ce95685wsh,Img64.bmp,Experimento1,FALSE,17219,2219,0,36,116,86,6,91,24,86,38
cl4rv9z6h0v8c08cfcdbu70t0,Img65.bmp,Experimento1,FALSE,19183,4181,0,38,114,91,8,91,23,91,35
cl4rvad9x0x1d08by8t40970p,Img66.bmp,Experimento1,FALSE,18793,3779,0,37,122,99,11,91,24,99,29
cl4rvas4i0y7f089l1y5kamd4,Img67.bmp,Experimento1,FALSE,16862,186,0,37,125,92,7,92,22,92,34
cl4rvb9eh0w0u077uahi76i8b,Img68.bmp,Experimento1,FALSE,18328,3323,0,38,124,92,12,92,23,92,35
cl4rvbrpf0v1u08ce978z7tbb,Img69.bmp,Experimento1,FALSE,15001,15001,0,36,127,73,7,91,24,73,52
cl4rvc4bb0x5m078z0dkueqr9,Img70.bmp,Experimento1,FALSE,18575,2069,0,37,124,74,7,91,24,74,51
cl4rvcjz20vv108cf7giy7cqu,Img71.bmp,Experimento1,FALSE,17378,2377,0,36,121,91,4,91,24,91,36
cl4rvcyc30ywg075o0l0rdih1,Img72.bmp,Experimento1,FALSE,20757,756,0,38,117,89,6,91,24,89,41
cl4rvdd5k0z0k075od8gcbfqv,Img73.bmp,Experimento1,FALSE,23676,3675,0,37,122,80,13,91,23,80,46
cl4rvdvyu0yz7089l3g2je4us,Img74.bmp,Experimento1,FALSE,15002,15002,0,34,128,81,5,91,24,81,45
cl4rvegq10vsj08ce2ub9afu8,Img75.bmp,Experimento1,FALSE,21822,3688,0,37,124,90,5,91,24,90,38
cl4rvewkz0y8r08byatp0h1bb,Img76.bmp,Experimento1,FALSE,15047,46,0,37,113,94,4,91,22,94,33
cl4rvffbl0z9v078r1gytaeda,Img77.bmp,Experimento1,FALSE,45868,56,0,36,130,92,5,91,23,92,34
cl4vztj790kf507y65v2a50uc,Img78.bmp,Experimento1,FALSE,78266,319,0,35,133,102,9,90,24,102,24
cl4vztju60ffu071k164je81v,Img79.bmp,Experimento1,FALSE,15687,686,0,35,133,88,8,91,23,88,42
cl4vzzd1n0l3g07y66nfzh3tn,Img80.bmp,Experimento1,FALSE,17523,2522,0,32,138,93,7,90,23,93,34
cl4vzzrot4q3008zl5hps6rpv,Img81.bmp,Experimento1,FALSE,24275,4274,0,32,131,92,8,90,24,92,35
cl4w004cd55o907086k0te9sd,Img82.bmp,Experimento1,FALSE,15457,456,0,34,125,84,9,90,24,84,44
cl4w00m9u4yem07yb266vaukm,Img83.bmp,Experimento1,FALSE,2745,2449,1,35,119,100,8,90,24,100,22
cl4w011rp0i5h07zs9ym9h7i3,Img84.bmp,Experimento1,FALSE,28807,3806,1,36,118,95,7,90,24,95,45
cl4w01mjp4yjm07ybhfufb30x,Img85.bmp,Experimento1,FALSE,16978,1977,1,37,119,96,5,91,23,96,39
cl4w0289l0ial07zsf39x0rsh,Img86.bmp,Experimento1,FALSE,16174,1174,1,38,119,106,7,91,23,106,37
cl4w02nbz0gcd071kd8zb2ixm,Img87.bmp,Experimento1,FALSE,26584,1582,0,39,123,72,6,91,23,72,49
cl4w030zf4qjh08zlbrjm1qj0,Img88.bmp,Experimento1,FALSE,19828,4827,0,36,124,67,10,91,24,67,57
cl4w03lso477m07xsf0hy96n1,Img89.bmp,Experimento1,FALSE,16808,1805,1,29,128,102,4,90,24,102,26
cl4w03z4k0ddj07yhgkik4y4k,Img90.bmp,Experimento1,FALSE,15329,328,0,20,145,62,6,90,25,62,42
cl4w04fpl42fv07zu9ybc7ofy,Img91.bmp,Experimento1,FALSE,17599,2597,0,24,138,73,5,90,24,73,40
cl4w04sxr0ims07zs8mk38cxj,Img92.bmp,Experimento1,FALSE,22658,2659,0,26,136,76,7,91,23,76,48
cl4w055c40i8j07y962aa01cc,Img93.bmp,Experimento1,FALSE,22875,2875,1,34,128,78,10,91,23,78,47
cl4w05n9m4rwp070cd2uc8muy,Img94.bmp,Experimento1,FALSE,20861,86,0,34,128,88,6,91,23,88,38
cl4w065cg0lye07y6fupv2iib,Img95.bmp,Experimento1,FALSE,17223,2222,1,28,129,89,7,91,23,89,42
cl4w06njz4s25070c5tpjevjn,Img96.bmp,Experimento1,FALSE,16367,1366,1,34,126,95,6,90,24,95,39
cl4w070hn42u507zu2srp21gp,Img97.bmp,Experimento1,FALSE,25822,82,1,34,127,90,8,90,24,90,40
cl4w07ec00ikh07y91ct0csvo,Img98.bmp,Experimento1,FALSE,17063,2062,1,35,124,94,9,90,24,94,37
cl4w07z8k47ro07xsdw0id2hp,Img99.bmp,Experimento1,FALSE,16243,1242,1,36,122,76,5,91,24,76,55
cl4w08ces0dz408zu0khjcqbg,Img100.bmp,Experimento1,FALSE,19073,4072,0,36,126,82,6,91,24,82,45
cl4w08qyc0j5u07zs7fjh7ciy,Img101.bmp,Experimento1,FALSE,15076,5018,0,36,124,87,8,91,23,87,43
cl4w0941n0isc07y90f6gf51f,Img102.bmp,Experimento1,FALSE,10021,2,0,36,124,89,12,91,23,89,39
cl4w09fio0hcu071kag5dfb79,Img103.bmp,Experimento1,FALSE,45617,45617,0,35,125,93,12,91,23,93,36
cl4w09rps0mh907y6ez108fd1,Img104.bmp,Experimento1,FALSE,31861,186,0,37,122,90,6,91,24,90,38
cl4w24tu7004o070caxvo0ofc,Img105.bmp,Experimento1,FALSE,151831,409,0,36,123,141,3,91,23,98,30
cl4wwrnia06b607z9afen2tc6,Img106.bmp,Experimento1,FALSE,33413,3412,0,36,123,78,6,91,24,78,53
cl4wwvxr007cf071fhg6jdsax,Img107.bmp,Experimento1,FALSE,35002,35002,0,40,118,73,8,90,24,73,57
cl4ygi2a1291k07ve5198e9ux,Img111.bmp,Experimento1,FALSE,36575,1573,1,37,117,95,14,90,25,95,40
cl4ygi32429la08z95yurhg5l,Img112.bmp,Experimento1,FALSE,19571,457,1,43,116,99,6,91,23,99,43
cl4ygizft2a4m08xje98s7syt,Img113.bmp,Experimento1,FALSE,14478,4478,0,34,136,69,6,92,24,69,39
cl4ygjcqr28qc08vvek4idc1c,Img108.bmp,Experimento1,FALSE,1976,4756,0,38,119,93,6,91,23,93,38
cl4ygjoy629bl07ve5x2p69yi,Img109.bmp,Experimento1,FALSE,1269,2689,1,39,117,88,8,90,24,88,54
cl4ygk0xr28v308vvc45k9evf,Img110.bmp,Experimento1,FALSE,18205,3204,1,39,113,107,10,91,23,107,35
cl4ygkcza2abv07v6gcsfetul,Img114.bmp,Experimento1,FALSE,1357,3568,0,36,131,82,11,91,24,82,31
cl4ygkrcx29i207vea96xbuef,Img115.bmp,Experimento1,FALSE,1002,18,0,35,128,88,10,91,23,88,30
cl4ygl2au14zl08yx7ze0eweg,Img116.bmp,Experimento1,FALSE,4646,1151,0,33,127,71,15,92,23,71,61
cl4ygldc715hw07xsbpk2gdov,Img117.bmp,Experimento1,FALSE,1686,185,0,34,123,88,9,91,24,88,44
cl4ygz21618ib08yxbrtrgvrt,Img118.bmp,Experimento1,FALSE,15018,17,0,34,123,94,5,91,24,94,41
cl4ygzf4x2d6e07uv7svgd9ym,Img119.bmp,Experimento1,FALSE,51853,4317,0,33,125,89,5,92,22,89,43
cl4ygzsrx18oa08yxaiqn1sxx,Img120.bmp,Experimento1,FALSE,25,25,0,34,124,97,8,91,23,97,35
cl4yh44f32e2b07uv13dz2mpq,Img121.bmp,Experimento1,FALSE,45983,368,0,34,122,92,9,92,23,92,45
cl4yh4rti2de907vebxjn49vh,Img122.bmp,Experimento1,FALSE,44941,2243,0,34,120,92,11,91,23,92,42
cl4yhgx412gsy08z94z2t0utx,Img123.bmp,Experimento1,FALSE,15613,611,0,34,125,74,5,92,23,74,57
cl4yi32un24qk07yl1z2o2e78,Img124.bmp,Experimento1,FALSE,20566,565,0,34,122,95,6,91,23,95,40
cl4yi3hbj2l0p07v623xihhsd,Img125.bmp,Experimento1,FALSE,15001,15001,0,29,132,81,9,92,22,81,45
cl4yi3x3v2l9u08z94rte5o8u,Img126.bmp,Experimento1,FALSE,19748,4747,0,36,121,103,11,91,24,103,32
cl4yi49mz1fla07ru47wlhqeo,Img127.bmp,Experimento1,FALSE,12904,2903,0,36,120,86,11,91,24,86,47
cl4yi7k7h2l3p07v79bqab0bf,Img128.bmp,Experimento1,FALSE,21657,1657,1,39,118,92,13,91,24,92,54
cl4yi7wxv2lxf08z9ez2yf3s9,Img129.bmp,Experimento1,FALSE,18174,3173,1,43,110,90,5,92,22,90,54
cl4yi8eyc25ml07yl38sx9j5e,Img130.bmp,Experimento1,FALSE,19504,4502,1,40,112,101,14,91,24,101,46
cl4yi8sbz2llz07uve05tfdf3,Img131.bmp,Experimento1,FALSE,10122,12,0,26,152,73,9,92,23,73,52
cl4yi996k1gev07ru1wlx33oq,Img132.bmp,Experimento1,FALSE,15206,206,0,37,122,72,9,91,24,72,54
cl4yi9kz02m2c07v657r8294c,Img133.bmp,Experimento1,FALSE,15516,515,0,30,136,70,8,92,23,70,49
cl4yi9wo42lzu08xjban39zxo,Img134.bmp,Experimento1,FALSE,24296,4296,0,37,124,79,5,92,24,79,47
cl4yia96l2lkv07v7c1525sb4,Img135.bmp,Experimento1,FALSE,13575,3575,0,36,123,81,7,92,23,81,44
cl4yiapjc261w07ylhp6s5ff8,Img136.bmp,Experimento1,FALSE,12735,2735,0,37,120,92,8,91,24,92,36
cl4yib1622knj08vv9jdm606d,Img137.bmp,Experimento1,FALSE,14668,4667,0,36,120,94,6,91,24,94,35
cl4yibdw22lqp07v7h3idhjcx,Img138.bmp,Experimento1,FALSE,12683,2683,0,35,123,92,4,91,24,92,38
cl4yibnqr2m4h07uvbq6xao74,Img139.bmp,Experimento1,FALSE,10001,10001,0,34,120,96,4,91,23,96,36
"cl4yibzma26ak07yl1xndfy02,Img140.bmp,Experimento1,FALSE,16235,""6,233E+16"",0,43,113,105,7,91,23,105,25"
cl4yicafc2mqr08z92psifbxz,Img141.bmp,Experimento1,FALSE,1034,339,0,42,115,100,7,91,24,100,29
cl4yicllo2mav07uvg3ygh573,Img142.bmp,Experimento1,FALSE,19593,9592,0,41,115,94,10,91,23,94,39
cl4yicvt91gc908wo5ncmdsqo,Img143.bmp,Experimento1,FALSE,15202,201,0,37,119,105,9,91,22,105,26
cl4yid87v1hzc08yx0wuv3hus,Img144.bmp,Experimento1,FALSE,17907,2904,0,36,121,96,6,90,24,96,41
cl4yidnwk2m9e07v75rhcg8ar,Img145.bmp,Experimento1,FALSE,38766,3765,0,46,108,103,11,91,23,103,36
cl4yie0862mbj07v75gw9ajgd,Img146.bmp,Experimento1,FALSE,13633,3632,0,91,23,144,43,36,121,144,6
cl4yieu2p2m0r07ve48g0hify,Img147.bmp,Experimento1,FALSE,13336,3335,0,34,126,81,8,91,24,81,53
cl4yif5bz1gs908wofcy8g0tk,Img148.bmp,Experimento1,FALSE,12819,2818,0,40,117,83,6,91,23,83,48
cl4yifgss1hjw07rucxjc564k,Img149.bmp,Experimento1,FALSE,25108,106,0,37,121,94,11,91,23,94,37
cl4yifrq92m6i07ve9aw9973r,Img150.bmp,Experimento1,FALSE,21817,1816,0,41,114,95,2,90,24,95,43
cl4yigfsq2nec07v69m7od6s1,Img151.bmp,Experimento1,FALSE,15123,121,0,40,116,99,7,90,24,99,38
cl4yigtu232pj08xja1zyfzhk,Img152.bmp,Experimento1,FALSE,17223,2221,0,28,148,78,3,91,23,78,53
cl4yih7fy2nja07v656x3cg24,Img153.bmp,Experimento1,FALSE,19983,4982,0,35,122,90,2,91,24,90,44
cl4yihjqj2npu08z922mp6rwc,Img154.bmp,Experimento1,FALSE,11193,1191,0,35,121,89,4,91,23,89,46
cl4yihz851iuv08yx3xox957o,Img155.bmp,Experimento1,FALSE,15,15,0,35,124,85,8,91,23,85,50
cl4yiibo62mn907ve525x9cni,Img156.bmp,Experimento1,FALSE,31312,1311,1,36,121,98,4,90,24,98,46
cl4yiip322ntf07v63mkr7gsp,Img157.bmp,Experimento1,FALSE,30771,769,1,38,120,108,9,90,24,108,35
cl4ylkx1d1z9n07xs24lgeggz,Img158.bmp,Experimento1,FALSE,69263,1214,1,38,119,102,3,90,23,102,43
cl4ylkxpw1xjx08wo2ouzgi7s,Img159.bmp,Experimento1,FALSE,39057,4056,0,36,132,82,5,91,23,82,44
cl4ysihkt3ix107yl01oycuq0,Img161.bmp,Experimento1,FALSE,21781,178,0,32,128,80,8,89,25,80,48
cl4ysj75b3zpq08vv1stqeu7e,Img162.bmp,Experimento1,FALSE,21366,1322,0,33,130,80,4,90,23,80,48
cl4ysjozt2ucl07xsdh7wd5xj,Img163.bmp,Experimento1,FALSE,23276,3274,0,34,129,87,7,90,24,87,42
cl4ysk84m2wew07rudkbv17dl,Img164.bmp,Experimento1,FALSE,34229,4225,0,35,122,86,8,91,21,86,43
cl4yskqx73zq907ve7gpr8flx,Img165.bmp,Experimento1,FALSE,18202,32,0,37,121,84,5,90,24,84,45
cl4ysliuy3jd107ylgvn4bx0b,Img166.bmp,Experimento1,FALSE,15332,267,0,36,121,90,10,91,23,90,37
cl4ysm0is3z8n07v63eps2uct,Img167.bmp,Experimento1,FALSE,20779,777,0,34,126,91,9,90,24,91,34
cl4ysmjun12ku07yc71uu68tm,Img168.bmp,Experimento1,FALSE,21551,155,0,34,124,78,6,91,24,78,50
cl4ysn2zm12o807yc40ao60u0,Img169.bmp,Experimento1,FALSE,2397,1595,0,35,126,96,4,90,23,96,33
cl4ysnn6e3jnq07yld5ebdwjj,Img170.bmp,Experimento1,FALSE,24031,403,0,36,121,95,9,90,23,95,33
cl4ysopbf12x907yc88y567sb,Img171.bmp,Experimento1,FALSE,19184,4183,0,37,115,92,9,90,23,92,38
cl4ysp75z130n07yc5xgh5ylu,Img172.bmp,Experimento1,FALSE,15001,15001,0,37,116,84,12,90,24,84,47
cl4yspp5c2vcg07xs0m465w08,Img173.bmp,Experimento1,FALSE,41518,3979,0,40,113,98,6,90,23,98,36
cl4ysq55c40ks07vebtwn6xdz,Img174.bmp,Experimento1,FALSE,20002,20002,0,43,112,118,10,90,23,118,20
cl4ysr0kf40rn07ve0ushavti,Img175.bmp,Experimento1,FALSE,21578,2153,0,34,124,86,4,91,22,86,33
cl4ysrlk12vno07xshg9u1a8w,Img176.bmp,Experimento1,FALSE,20003,20003,0,36,135,90,8,91,23,90,26
cl4yss2c208fd08yda4q9az8d,Img177.bmp,Experimento1,FALSE,19279,98,0,34,123,94,7,90,24,94,28
cl4yssl98411307ve5kuz66v6,Img178.bmp,Experimento1,FALSE,3151,2083,0,33,125,63,3,90,26,63,62
cl4yst2rz13l507y0dcn2a2fd,Img179.bmp,Experimento1,FALSE,24423,4422,0,33,125,63,4,91,25,63,62
cl4yswrud2wmi07xs36t0erze,Img180.bmp,Experimento1,FALSE,22884,2879,0,34,120,101,6,90,24,101,27
cl4ysxah609t008wzhcgedoey,Img181.bmp,Experimento1,FALSE,20007,20007,0,36,118,102,6,90,24,102,30
cl4ysxuzo416707v6b82125q1,Img182.bmp,Experimento1,FALSE,21409,21409,0,35,117,90,5,90,24,90,47
cl4ysyfli0lxt07w332mw0q9k,Img183.bmp,Experimento1,FALSE,49038,49038,0,37,119,99,6,90,25,99,33
cl4ysyzb209hv08yd9zojaldk,Img184.bmp,Experimento1,FALSE,55569,3579,0,38,116,88,6,91,24,88,47
cl4yt3ss915kb07y03ligcc5w,Img185.bmp,Experimento1,FALSE,26269,1267,0,35,124,86,5,91,23,86,43
cl4yta09c3niv07yl7miqfzn9,Img186.bmp,Experimento1,FALSE,26306,1305,0,34,125,103,5,91,23,103,24
cl4ytaodj0o0607w36t6h3t9z,Img187.bmp,Experimento1,FALSE,21106,1104,0,34,116,83,10,91,24,83,46
cl4ytbb240cbx08wz2okn3ong,Img188.bmp,Experimento1,FALSE,30048,5047,0,35,119,91,4,91,23,91,37
cl4ytbu2p16sy07yc0fln8hpf,Img189.bmp,Experimento1,FALSE,20002,20002,0,34,119,93,5,91,23,93,38
cl4ytci960scp07xu2vehfi62,Img190.bmp,Experimento1,FALSE,27295,1591,0,38,119,96,5,90,24,96,32
cl4ytd4kg0brx08yd1j5mbf0p,Img191.bmp,Experimento1,FALSE,21877,1875,0,37,120,87,11,91,23,87,41
cl4ytdq4j2zgi07xs5435a0iq,Img192.bmp,Experimento1,FALSE,2164,1637,0,36,121,94,8,91,23,94,36
cl4yte9i93o4b07yl86ahhzl1,Img193.bmp,Experimento1,FALSE,22551,255,0,33,125,69,6,91,24,69,60
cl4ytetn30on907w326gt1nnt,Img194.bmp,Experimento1,FALSE,29236,4234,0,40,117,90,9,90,24,90,49
cl4ytfdei443w07v6ab9w4u1x,Img195.bmp,Experimento1,FALSE,23568,3564,0,40,116,85,6,91,23,85,50
cl4ytg0kr44u607ve1fbkd2u5,Img196.bmp,Experimento1,FALSE,21047,1046,0,39,118,92,12,91,23,92,46
cl4ytgmc80cad08yd208jg2zs,Img197.bmp,Experimento1,FALSE,26161,116,0,30,130,75,13,92,23,75,50
cl4yth6qr451b07vedwo2duwu,Img198.bmp,Experimento1,FALSE,2991,4909,0,36,119,95,2,91,24,95,32
cl4ythtp70t7207xubhj55339,Img199.bmp,Experimento1,FALSE,27375,22374,0,31,126,88,3,91,24,88,39
cl4ytijx90cnq08yd86ip1s8z,Img200.bmp,Experimento1,FALSE,20,20,0,35,120,98,7,91,23,98,32
cl4ytit9y0p8d07w30c9x4b1n,Img201.bmp,Experimento1,FALSE,28579,3282,0,40,117,78,5,91,25,78,57
cl4ytjcaf32bj07ruefkidc8l,Img202.bmp,Experimento1,FALSE,34372,437,1,40,118,105,5,91,23,105,33
cl4yto6mt0q2x07w36msg5t3v,Img203.bmp,Experimento1,FALSE,22743,2742,1,37,120,94,7,91,23,94,49
cl4ytoyum46a407ve6lf70qk8,Img204.bmp,Experimento1,FALSE,25536,534,1,38,119,99,3,91,24,99,37
cl4ytpiup0qao07w35gbfbavz,Img205.bmp,Experimento1,FALSE,21346,1282,0,37,122,77,2,92,23,77,45
cl4ytq5o80eq408wza1rmh3ix,Img206.bmp,Experimento1,FALSE,20109,109,0,32,129,64,6,91,25,64,60
